group,ISI,dprime,sem,ci_low,ci_high,N
US,0,3.0379490235625455,0.026857384479953447,2.986950585015055,3.0906597243831038,90
US,1,2.4892596664634667,0.10626439125834479,2.32054426143921,2.744584864032271,90
US,2,1.8736385816514787,0.07195735459958971,1.7475079465434893,2.0220608788616863,90
US,3,1.6185754372754992,0.06382388149560768,1.503072347989034,1.753561958993741,90
US,4,1.5772106478540693,0.06554987445234037,1.4538615117772593,1.710550411627081,90
US,8,1.5312400817373701,0.05227720039557448,1.4338399632163739,1.6378265222748898,90
US,16,1.4495437776865967,0.055734989027793384,1.3484549931404057,1.5559670805044312,90
US,32,1.3258281192754895,0.052155606270471465,1.2202948416987656,1.4309541275842432,90
US,64,1.25274500102624,0.058572140801669434,1.1421649925418424,1.3708216609419788,90
SanBorja,0,3.290998922170587,0.12963458271919617,3.0424115379104335,3.455143430647352,38
SanBorja,1,2.199818508808909,0.10619394637771801,2.0221355961017053,2.438763376636406,38
SanBorja,2,1.843832782049219,0.09721655772464233,1.6693022970932865,2.0371197865167012,38
SanBorja,3,1.4189254914053602,0.08928177412953849,1.2512423204776908,1.5939869787189238,38
SanBorja,4,1.356220157240079,0.07951627919522775,1.2083099225081515,1.5208065879410777,38
SanBorja,8,1.3550748084106055,0.08284310724504787,1.1931744895425227,1.519981988858563,38
SanBorja,16,1.0944539784416516,0.08625129429141468,0.9338924914868377,1.2642619392384309,38
SanBorja,32,1.048746336511414,0.07719442098428081,0.8997118159839621,1.2036494562415523,38
SanBorja,64,0.7936859516482657,0.09380273217100123,0.6077152708269092,0.9809496606862821,38
Tsimane,0,2.94321490690896,0.08019865149207726,2.8097572141691742,3.120357050300016,116
Tsimane,1,1.7064958533469585,0.08865541647882245,1.5503703152453387,1.8983643610432617,116
Tsimane,2,1.2568794027687618,0.06536341836959143,1.1313076731987086,1.3878730423435226,116
Tsimane,3,1.066890902211547,0.075090256376488,0.9233845540430983,1.2160810668173911,116
Tsimane,4,0.8394353911258315,0.07195920346828821,0.6987528882056488,0.9830348157614085,116
Tsimane,8,0.7133323005037904,0.07150244287876463,0.5745292287680486,0.8526438922400891,116
Tsimane,16,0.6087614543060345,0.047829907953090764,0.5122413583331419,0.7004612220574058,116
Tsimane,32,0.5940546951984276,0.07601357366298855,0.4448037421566732,0.7516548421391771,116
Tsimane,64,0.5873631059232,0.07144259470354465,0.4439187255683267,0.7253580570027457,116
