group,ISI,dprime,sem,ci_low,ci_high,N
US,0,2.1435545517073624,0.12096810844526201,1.9490759867708538,2.4060207850032596,104
US,1,2.0018901448413438,0.11194472330408696,1.8110336952117507,2.2608526170543457,104
US,2,1.7353332622941577,0.08718776535012836,1.5856666867239193,1.9230128983653008,104
US,3,1.6645117285584323,0.07144529462615053,1.533430553787242,1.8112077935813453,104
US,4,1.494790001405754,0.07339338464840472,1.3591704635587987,1.649634481094425,104
US,8,1.4207663303278066,0.06752016126204938,1.2941354091407336,1.5577130039696894,104
US,16,1.3341634974197534,0.05993987346425141,1.2209700187389365,1.4550059216995856,104
US,32,1.3044653929098895,0.06730137996424893,1.176527358899244,1.4401845128115054,104
US,64,1.1396568475707787,0.05434203803569138,1.0342887853530334,1.2518131977477074,104
SanBorja,0,2.7365708754688445,0.11958021279677927,2.5487326910983352,3.0110438128521224,44
SanBorja,1,1.9249287767923664,0.09014936527456532,1.7567073740450931,2.1086611645243267,44
SanBorja,2,1.6320358024097157,0.08916153132784051,1.4706131729948313,1.8202142987113006,44
SanBorja,3,1.4264979547560146,0.06859288619193625,1.295911193055641,1.5597736560370241,44
SanBorja,4,1.4397711902647792,0.07963965963544586,1.290550475579702,1.602669314562894,44
SanBorja,8,1.3085967162066388,0.08875521493249947,1.1403306193275475,1.481875028182343,44
SanBorja,16,1.148276022691009,0.07755904291122862,0.9993740205373423,1.3007522889869592,44
SanBorja,32,1.2698181050815542,0.0812568332881146,1.1170249000682602,1.4306155175936373,44
SanBorja,64,0.9622718177568297,0.06953914127141214,0.8286724080151288,1.1014051494103407,44
Tsimane,0,2.370041797790198,0.07321890959791509,2.242386648811304,2.5250931260950504,159
Tsimane,1,1.53942501142995,0.06583965277493126,1.4110293676654515,1.6731472464336152,159
Tsimane,2,1.2575318574345657,0.05896561192958329,1.1473884485454957,1.379886759272508,159
Tsimane,3,1.1918333699849708,0.06590133320673758,1.0601998098905343,1.3185879200700377,159
Tsimane,4,0.9183956442429735,0.05721214366379758,0.8097180068360296,1.0341975933797836,159
Tsimane,8,0.8786828220816201,0.05271930377470011,0.7762384828206598,0.9814064979320187,159
Tsimane,16,0.8813653430311992,0.04316387258584124,0.7945269387195611,0.9668211461549481,159
Tsimane,32,0.6367683340025518,0.05519634745078388,0.5261610843706007,0.7441157323207039,159
Tsimane,64,0.5836179077679399,0.05021880057012209,0.48249437189255273,0.6837457936265023,159
