group,ISI,dprime,sem,ci_low,ci_high,N
US,0,2.497363847150309,0.022226269631696945,2.4543682230057016,2.5394407497989153,73
US,1,1.54345037988884,0.11006528266644575,1.372694663883486,1.7825225439118517,73
US,2,1.2809546783112922,0.07583692481267863,1.1525273689975821,1.437795873328441,73
US,3,1.1022110858557053,0.05856263966014119,0.993988886307462,1.2208703042913893,73
US,4,0.9940833710788967,0.06781589719306409,0.8723900563966859,1.1374598865716643,73
US,8,1.0833857876406843,0.07243843855283318,0.9501496742257014,1.2401108605570412,73
US,16,0.8652415266327287,0.06139497217506527,0.7560546063296243,0.9929668158513648,73
US,32,0.8109396467713627,0.07163541672112207,0.6786988199765502,0.9635017553803418,73
US,64,0.6032405048839028,0.05964160398166263,0.4908496576228623,0.7166286117358832,73
SanBorja,0,2.911992050981849,0.04821037370952639,2.82190812811645,3.00655467084369,34
SanBorja,1,1.0916035733141969,0.08063264362597641,0.9438973061786015,1.265672869070459,34
SanBorja,2,1.1863450826604574,0.1022111345422065,1.0106317698968554,1.4015313334522705,34
SanBorja,3,0.8870628747853009,0.07911311903595485,0.7414481643509109,1.0430317164746767,34
SanBorja,4,0.7212196921398052,0.07992726403945019,0.5701719694040837,0.8797509750466357,34
SanBorja,8,0.617450483502642,0.07367223688210861,0.4774339036971723,0.7656248312648278,34
SanBorja,16,0.4775978162202453,0.06880194421578248,0.3334185785590944,0.6006369192059292,34
SanBorja,32,0.480657719368647,0.05716852036172355,0.36630833210673885,0.5931574323650896,34
SanBorja,64,0.38274736514646235,0.07667716717454162,0.22458552355764924,0.5266634720213862,34
Tsimane,0,3.0197435734177023,0.058988921757194626,2.8395436136304593,3.0617859289404565,30
Tsimane,1,1.1697674959825672,0.10113872295926422,0.9868402747701868,1.3822014218528578,30
Tsimane,2,0.6892179734332586,0.08899174669393252,0.5140293996072883,0.8682502317886898,30
Tsimane,3,0.6610625193637328,0.07274402885042978,0.5203171635338897,0.8000163628635022,30
Tsimane,4,0.6998612538621324,0.09178402150409545,0.5178420288456964,0.8824990329967485,30
Tsimane,8,0.6439392656756017,0.09054001038549915,0.46271780983108096,0.8172046656621982,30
Tsimane,16,0.41573110431492133,0.06926873447432297,0.27544965338902605,0.5401264386067517,30
Tsimane,32,0.343832677904727,0.0780707640691369,0.18450761354687947,0.48286302618744753,30
Tsimane,64,0.3185534323973448,0.09800633312309684,0.11732506090663869,0.5019247274677111,30
