group,subject,isi,hits,false_alarms,n_signal,n_noise,hit_rate,fa_rate,d_prime
US,PRO24csv:2hzhrvshlz3,64,4,39,4,91,1.0,0.42857142857142855,2.5063602438335457
US,PRO24csv:2qhed7s9cfa,0,6,34,6,89,1.0,0.38202247191011235,2.626521208419562
US,PRO24csv:2qhed7s9cfa,1,6,34,6,89,1.0,0.38202247191011235,2.626521208419562
US,PRO24csv:2qhed7s9cfa,2,4,34,4,89,1.0,0.38202247191011235,2.626521208419562
US,PRO24csv:2qhed7s9cfa,3,3,34,4,89,0.75,0.38202247191011235,0.974663084574803
US,PRO24csv:2qhed7s9cfa,4,5,34,5,89,1.0,0.38202247191011235,2.626521208419562
US,PRO24csv:2qhed7s9cfa,8,4,34,4,89,1.0,0.38202247191011235,2.626521208419562
US,PRO24csv:2qhed7s9cfa,16,5,34,5,89,1.0,0.38202247191011235,2.626521208419562
US,PRO24csv:2qhed7s9cfa,32,2,34,4,89,0.5,0.38202247191011235,0.30017333437872135
US,PRO24csv:2qhed7s9cfa,64,5,34,6,89,0.8333333333333334,0.38202247191011235,1.2675949004804226
US,PRO24csv:3dxn7zyx5o2,0,5,42,5,89,1.0,0.47191011235955055,2.396817061109596
US,PRO24csv:3dxn7zyx5o2,1,3,42,5,89,0.6,0.47191011235955055,0.32381629020455505
US,PRO24csv:3dxn7zyx5o2,2,3,42,5,89,0.6,0.47191011235955055,0.32381629020455505
US,PRO24csv:3dxn7zyx5o2,3,2,42,4,89,0.5,0.47191011235955055,0.07046918706875532
US,PRO24csv:3dxn7zyx5o2,4,3,42,5,89,0.6,0.47191011235955055,0.32381629020455505
US,PRO24csv:3dxn7zyx5o2,8,1,42,4,89,0.25,0.47191011235955055,-0.6040205631273263
US,PRO24csv:3dxn7zyx5o2,16,0,42,4,89,0.0,0.47191011235955055,-2.2558786869720855
US,PRO24csv:3dxn7zyx5o2,32,6,42,8,89,0.75,0.47191011235955055,0.7449589372648371
US,PRO24csv:3dxn7zyx5o2,64,3,42,4,89,0.75,0.47191011235955055,0.7449589372648371
US,PRO24csv:42s76qwel2w,0,5,49,5,89,1.0,0.550561797752809,2.199267019545812
US,PRO24csv:42s76qwel2w,1,4,49,4,89,1.0,0.550561797752809,2.199267019545812
US,PRO24csv:42s76qwel2w,2,5,49,5,89,1.0,0.550561797752809,2.199267019545812
US,PRO24csv:42s76qwel2w,3,7,49,10,89,0.7,0.550561797752809,0.3973196582130121
US,PRO24csv:42s76qwel2w,4,4,49,4,89,1.0,0.550561797752809,2.199267019545812
US,PRO24csv:42s76qwel2w,8,4,49,4,89,1.0,0.550561797752809,2.199267019545812
US,PRO24csv:42s76qwel2w,16,2,49,4,89,0.5,0.550561797752809,-0.12708085449502862
US,PRO24csv:42s76qwel2w,32,4,49,4,89,1.0,0.550561797752809,2.199267019545812
US,PRO24csv:42s76qwel2w,64,3,49,4,89,0.75,0.550561797752809,0.5474088957010531
US,PRO24csv:68jcxsn2qyp,0,4,33,4,89,1.0,0.3707865168539326,2.6561188312402497
US,PRO24csv:68jcxsn2qyp,1,5,33,6,89,0.8333333333333334,0.3707865168539326,1.2971925233011101
US,PRO24csv:68jcxsn2qyp,2,3,33,4,89,0.75,0.3707865168539326,1.0042607073954908
US,PRO24csv:68jcxsn2qyp,3,5,33,5,89,1.0,0.3707865168539326,2.6561188312402497
US,PRO24csv:68jcxsn2qyp,4,5,33,7,89,0.7142857142857143,0.3707865168539326,0.8957197791322722
US,PRO24csv:68jcxsn2qyp,8,5,33,5,89,1.0,0.3707865168539326,2.6561188312402497
US,PRO24csv:68jcxsn2qyp,16,2,33,4,89,0.5,0.3707865168539326,0.329770957199409
US,PRO24csv:68jcxsn2qyp,32,3,33,5,89,0.6,0.3707865168539326,0.5831180603352087
US,PRO24csv:68jcxsn2qyp,64,2,33,4,89,0.5,0.3707865168539326,0.329770957199409
US,PRO24csv:781mkhhde2v,0,6,21,6,90,1.0,0.23333333333333334,3.054261164922485
US,PRO24csv:781mkhhde2v,1,3,21,4,90,0.75,0.23333333333333334,1.402403041077726
US,PRO24csv:781mkhhde2v,2,3,21,5,90,0.6,0.23333333333333334,0.981260394017444
US,PRO24csv:781mkhhde2v,3,5,21,6,90,0.8333333333333334,0.23333333333333334,1.6953348569833455
US,PRO24csv:781mkhhde2v,4,2,21,5,90,0.4,0.23333333333333334,0.4745661877458445
US,PRO24csv:781mkhhde2v,8,2,21,5,90,0.4,0.23333333333333334,0.4745661877458445
US,PRO24csv:781mkhhde2v,16,3,21,4,90,0.75,0.23333333333333334,1.402403041077726
US,PRO24csv:781mkhhde2v,32,4,21,4,90,1.0,0.23333333333333334,3.054261164922485
US,PRO24csv:781mkhhde2v,64,1,21,4,90,0.25,0.23333333333333334,0.05342354068556254
US,PRO24csv:78389sca1pg,0,4,35,4,91,1.0,0.38461538461538464,2.6197291061620342
US,PRO24csv:78389sca1pg,1,4,35,4,91,1.0,0.38461538461538464,2.6197291061620342
US,PRO24csv:78389sca1pg,2,4,35,4,91,1.0,0.38461538461538464,2.6197291061620342
US,PRO24csv:78389sca1pg,3,5,35,5,91,1.0,0.38461538461538464,2.6197291061620342
US,PRO24csv:78389sca1pg,4,4,35,4,91,1.0,0.38461538461538464,2.6197291061620342
US,PRO24csv:78389sca1pg,8,3,35,5,91,0.6,0.38461538461538464,0.5467283352569929
US,PRO24csv:78389sca1pg,16,4,35,6,91,0.6666666666666666,0.38461538461538464,0.7241085314166507
US,PRO24csv:78389sca1pg,32,1,35,5,91,0.2,0.38461538461538464,-0.5482400014517209
US,PRO24csv:78389sca1pg,64,3,35,5,91,0.6,0.38461538461538464,0.5467283352569929
US,PRO24csv:85b43apmn5u,0,6,38,6,89,1.0,0.42696629213483145,2.5104509617151756
US,PRO24csv:85b43apmn5u,1,5,38,5,89,1.0,0.42696629213483145,2.5104509617151756
US,PRO24csv:85b43apmn5u,2,5,38,5,89,1.0,0.42696629213483145,2.5104509617151756
US,PRO24csv:85b43apmn5u,3,4,38,4,89,1.0,0.42696629213483145,2.5104509617151756
US,PRO24csv:85b43apmn5u,4,5,38,7,89,0.7142857142857143,0.42696629213483145,0.7500519096071978
US,PRO24csv:85b43apmn5u,8,3,38,5,89,0.6,0.42696629213483145,0.4374501908101345
