group,ISI,dprime,sem,ci_low,ci_high,N
US,0,2.4414185565649538,0.16089775986081417,2.221147781039327,2.8337997506034998,102
US,1,2.212133823113289,0.1116908055659759,2.0408355111454535,2.4754052495446994,102
US,2,1.705676148183763,0.07603663957774197,1.5712193047295875,1.8792970905035635,102
US,3,1.5443944209024965,0.06457836530848725,1.4298590040894115,1.6810249745065649,102
US,4,1.5099432753755966,0.06528411092286475,1.389129414716345,1.6455349881997996,102
US,8,1.4546608088690403,0.05616498877624472,1.3487647047310107,1.5720484952448885,102
US,16,1.3725138969220603,0.0575451196850999,1.2645183163489793,1.488441045366035,102
US,32,1.2746429661428187,0.05226723752296081,1.1761880172564814,1.3828931208249755,102
US,64,1.198631883239965,0.05565533568581394,1.0933059123061597,1.3115740800643714,102
SanBorja,0,2.5268932544437956,0.1679937770156734,2.2775810810964203,2.9495221436163246,44
SanBorja,1,2.059494242232949,0.10474083092095234,1.8866812882456185,2.2925405587473513,44
SanBorja,2,1.7032200160863766,0.09898238573273185,1.5236867690866462,1.9074778172152183,44
SanBorja,3,1.3249720322753116,0.08504695834641501,1.1553930748148737,1.4977991008313116,44
SanBorja,4,1.2190916261707399,0.08510084273375358,1.0534334478925436,1.3880294424329345,44
SanBorja,8,1.2253107498351072,0.0800515254371813,1.0626139398149363,1.378756757463088,44
SanBorja,16,1.0405312248491474,0.07726166255924216,0.8875673611959198,1.1932295042782004,44
SanBorja,32,0.9975279902591829,0.07478841185836464,0.8525527705242695,1.1431443856353816,44
SanBorja,64,0.753048117209212,0.08369586150649029,0.5800897111643282,0.9170957853269964,44
Tsimane,0,2.1895012756599734,0.08625769491364793,2.0378652219259386,2.380523697779817,151
Tsimane,1,1.5577650978417577,0.08200254400742095,1.4040061952055896,1.7216150801830852,151
Tsimane,2,1.109048400316286,0.06422158049006355,0.985014261539811,1.2373394060742502,151
Tsimane,3,1.0003055044669606,0.06670120656209358,0.8737534327054644,1.135756349381131,151
Tsimane,4,0.7646555054630878,0.06997025271668778,0.6299212996553902,0.9034568947353986,151
Tsimane,8,0.6519300929658441,0.062288401466184744,0.5276015702336868,0.7756811026936491,151
Tsimane,16,0.5562932315598471,0.04363869824854288,0.47043621193732116,0.639802304170887,151
Tsimane,32,0.5030094856368408,0.07068098649857608,0.36110428538762007,0.6367730131797651,151
Tsimane,64,0.5986662219139663,0.06612980651845783,0.4611440592120193,0.720980083799146,151
