group,ISI,dprime,sem,ci_low,ci_high,N
US,0,3.0362705867750073,0.027142490700870762,2.9815724390702734,3.08876971354742,89
US,1,2.4875812296759285,0.10819298953851657,2.3152071391626117,2.7356156108273324,89
US,2,1.8719601448639407,0.07029551888555802,1.7418218406859212,2.0194659001406357,89
US,3,1.6091811774085605,0.06435001184519808,1.4976766215269917,1.7448513993507269,89
US,4,1.5676386497354193,0.06619995272034296,1.4386831970582226,1.6998846277177582,89
US,8,1.5295616449498322,0.053496976356148605,1.4324908102130636,1.6346365134138126,89
US,16,1.447865340899059,0.05736731439945134,1.3380078468034933,1.5661363948089146,89
US,32,1.3241496824879517,0.05255146015543998,1.2237953817050131,1.4310506618909606,89
US,64,1.2510665642387022,0.059103208025592574,1.1395831888806711,1.3723005507168569,89
SanBorja,0,3.290998922170587,0.1293032588483992,3.042322547861067,3.453025536453268,38
SanBorja,1,2.199818508808909,0.10416780599244921,2.0212269981782836,2.4316436107135897,38
SanBorja,2,1.843832782049219,0.09905724354842921,1.6659179803898039,2.0435464586522865,38
SanBorja,3,1.4189254914053602,0.08839802774145285,1.2508386559680922,1.5914967056944138,38
SanBorja,4,1.356220157240079,0.08043023088394394,1.2045357569146748,1.524250859154343,38
SanBorja,8,1.3550748084106055,0.08268597285116457,1.193886781259033,1.5203954209640256,38
SanBorja,16,1.0944539784416516,0.08685277775105274,0.9296019181691529,1.2644865723639822,38
SanBorja,32,1.048746336511414,0.07689060200270544,0.9001683924638497,1.202421001821337,38
SanBorja,64,0.7936859516482657,0.09336565360545376,0.6052088239613567,0.9779256905111431,38
Tsimane,0,3.2339803544819246,0.10726149044173705,2.997291985733853,3.3891124845207985,50
Tsimane,1,1.688565503929325,0.09206879719130188,1.5236665875277413,1.8910548428916263,50
Tsimane,2,1.2389490533511283,0.0684353584460605,1.102936681950613,1.376494967983234,50
Tsimane,3,1.0489605527939134,0.08077870241170451,0.8998355592602157,1.2078658064509982,50
Tsimane,4,0.821505041708198,0.07291050895552445,0.6840923241666587,0.9735419281252852,50
Tsimane,8,0.6954019510861569,0.07511743325054386,0.5529703617669749,0.8490223370007218,50
Tsimane,16,0.8203511242552814,0.07463776460728166,0.6724785184111405,0.9658532946613215,50
Tsimane,32,0.5761243457807941,0.07931082973163465,0.41627608422912143,0.7249835172975828,50
Tsimane,64,0.5694327565055665,0.07205717616162721,0.43013837936173555,0.7120609998711943,50
