group,subject,isi,hits,false_alarms,n_signal,n_noise,hit_rate,fa_rate,d_prime
US,PRO24csv:0enpd2mqds1,3,8,42,11,175,0.7272727272727273,0.24,1.3108879094233246
US,PRO24csv:0enpd2mqds1,4,6,42,9,175,0.6666666666666666,0.24,1.1370298621355448
US,PRO24csv:0enpd2mqds1,8,7,42,8,175,0.875,0.24,1.8566519432160953
US,PRO24csv:0enpd2mqds1,16,2,42,4,175,0.5,0.24,0.7063025628400874
US,PRO24csv:0enpd2mqds1,32,5,42,8,175,0.625,0.24,1.0249419268044626
US,PRO24csv:0enpd2mqds1,64,5,42,9,175,0.5555555555555556,0.24,0.8460128617219496
US,PRO24csv:19gn78zkw55,0,4,28,4,90,1.0,0.3111111111111111,2.819051207100882
US,PRO24csv:19gn78zkw55,1,3,28,4,90,0.75,0.3111111111111111,1.167193083256123
US,PRO24csv:19gn78zkw55,2,4,28,4,90,1.0,0.3111111111111111,2.819051207100882
US,PRO24csv:19gn78zkw55,3,4,28,5,90,0.8,0.3111111111111111,1.3343245666329557
US,PRO24csv:19gn78zkw55,4,6,28,8,90,0.75,0.3111111111111111,1.167193083256123
US,PRO24csv:19gn78zkw55,8,4,28,6,90,0.6666666666666666,0.3111111111111111,0.9234306323554988
US,PRO24csv:19gn78zkw55,16,4,28,4,90,1.0,0.3111111111111111,2.819051207100882
US,PRO24csv:19gn78zkw55,32,3,28,4,90,0.75,0.3111111111111111,1.167193083256123
US,PRO24csv:19gn78zkw55,64,3,28,4,90,0.75,0.3111111111111111,1.167193083256123
US,PRO24csv:1cnn2ttbqf2,0,4,42,4,89,1.0,0.47191011235955055,2.396817061109596
US,PRO24csv:1cnn2ttbqf2,1,4,42,4,89,1.0,0.47191011235955055,2.396817061109596
US,PRO24csv:1cnn2ttbqf2,2,4,42,5,89,0.8,0.47191011235955055,0.9120904206416696
US,PRO24csv:1cnn2ttbqf2,3,4,42,5,89,0.8,0.47191011235955055,0.9120904206416696
US,PRO24csv:1cnn2ttbqf2,4,3,42,4,89,0.75,0.47191011235955055,0.7449589372648371
US,PRO24csv:1cnn2ttbqf2,8,5,42,5,89,1.0,0.47191011235955055,2.396817061109596
US,PRO24csv:1cnn2ttbqf2,16,3,42,6,89,0.5,0.47191011235955055,0.07046918706875532
US,PRO24csv:1cnn2ttbqf2,32,3,42,5,89,0.6,0.47191011235955055,0.32381629020455505
US,PRO24csv:1cnn2ttbqf2,64,3,42,6,89,0.5,0.47191011235955055,0.07046918706875532
US,PRO24csv:2jqwz6g8t25,0,4,10,4,91,1.0,0.10989010989010989,3.553460614961556
US,PRO24csv:2jqwz6g8t25,1,5,10,5,91,1.0,0.10989010989010989,3.553460614961556
US,PRO24csv:2jqwz6g8t25,2,4,10,4,91,1.0,0.10989010989010989,3.553460614961556
US,PRO24csv:2jqwz6g8t25,3,7,10,7,91,1.0,0.10989010989010989,3.553460614961556
US,PRO24csv:2jqwz6g8t25,4,2,10,4,91,0.5,0.10989010989010989,1.2271127409207154
US,PRO24csv:2jqwz6g8t25,8,3,10,5,91,0.6,0.10989010989010989,1.480459844056515
US,PRO24csv:2jqwz6g8t25,16,4,10,5,91,0.8,0.10989010989010989,2.0687339744936297
