"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"","","","","","html-keyboard-response","15","77395","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","16","83410","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","2040","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","17","83469","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","18","86692","0.0-8.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","3230","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","19","86759","0.0-8.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","20","93649","0.0-8.0-1.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","2728","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","3","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","21","93704","0.0-8.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","22","96265","0.0-8.0-1.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","2548","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","23","96317","0.0-8.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","24","102167","0.0-8.0-1.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","2339","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1020_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","25","102221","0.0-8.0-0.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","26","107375","0.0-8.0-1.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","2760","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1019_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","27","107428","0.0-8.0-0.7","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","28","110132","0.0-8.0-1.7","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","2699","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","3","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","29","111792","0.0-9.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","1659","<p>You are now ready to start the experiment. Press SPACE when you are ready to start.</p>"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","30","111860","0.0-10.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","31","118411","0.0-10.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","2760","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/mem_stim_74.wav","0","main","","","false","mem_stim_74.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","32","118471","0.0-10.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","33","124630","0.0-10.0-2.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","3010","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/mem_stim_51.wav","0","main","","","false","mem_stim_51.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","34","124690","0.0-10.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","35","127397","0.0-10.0-2.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","2699","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/mem_stim_51.wav","3","main","","","true","mem_stim_51.wav","true","0","","0","miss"
"","","","","","html-keyboard-response","36","127458","0.0-10.0-1.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","37","136292","0.0-10.0-2.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","3051","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/mem_stim_79.wav","0","main","","","false","mem_stim_79.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","38","136350","0.0-10.0-1.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","39","144137","0.0-10.0-2.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","3680","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/mem_stim_10.wav","2","main","","","false","mem_stim_10.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","40","144199","0.0-10.0-1.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","41","154881","0.0-10.0-2.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","3120","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/mem_stim_62.wav","0","main","","","false","mem_stim_62.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","42","154949","0.0-10.0-1.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","43","164985","0.0-10.0-2.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","0.25","true","","4301","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/mem_stim_2.wav","2","main","","","false","mem_stim_2.wav","false","-1","","1","correct_rejection"
